name,bm25_weight,dense_weight,rrf_k,candidate_k,final_top_k,query_count,labeled_query_count,unlabeled_query_count,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_50,mrr,mrr_cutoff,delta_recall_at_1,delta_recall_at_3,delta_recall_at_5,delta_recall_at_10,delta_recall_at_20,delta_recall_at_50,delta_mrr,better_than_dense_by_rr,worse_than_dense_by_rr,tied_with_dense_by_rr,dense_rank_1_count,dense_rank_1_preserved,dense_rank_1_degraded,hybrid_only_hit_at_3,dense_only_hit_at_3,hybrid_only_hit_at_5,dense_only_hit_at_5,hybrid_only_hit_at_10,dense_only_hit_at_10,pareto,queries_improved_at_1,queries_degraded_at_1,queries_tied_at_1,relevant_documents_gained_at_1,relevant_documents_lost_at_1,queries_improved_at_3,queries_degraded_at_3,queries_tied_at_3,relevant_documents_gained_at_3,relevant_documents_lost_at_3,queries_improved_at_5,queries_degraded_at_5,queries_tied_at_5,relevant_documents_gained_at_5,relevant_documents_lost_at_5,queries_improved_at_10,queries_degraded_at_10,queries_tied_at_10,relevant_documents_gained_at_10,relevant_documents_lost_at_10,queries_improved_at_20,queries_degraded_at_20,queries_tied_at_20,relevant_documents_gained_at_20,relevant_documents_lost_at_20,queries_improved_at_50,queries_degraded_at_50,queries_tied_at_50,relevant_documents_gained_at_50,relevant_documents_lost_at_50
bm25_1_dense_1_rrf_1_candidates_10_top_10,1.0,1.0,1,10,10,200,200,0,0.66,0.925,0.985,0.995,1.0,1.0,0.8175,10,-0.09999999999999998,-0.03499999999999992,-0.0025000000000000577,-0.0025000000000000577,0.0,0.0,-0.06716666666666671,11,45,144,159,127,32,0,8,0,0,0,1,False,10,32,158,12,34,2,8,190,3,9,1,2,197,1,2,1,1,198,1,1,0,0,200,0,0,0,0,200,0,0
bm25_1_dense_1_rrf_1_candidates_20_top_10,1.0,1.0,1,20,10,200,200,0,0.66,0.925,0.985,0.995,1.0,1.0,0.8175,10,-0.09999999999999998,-0.03499999999999992,-0.0025000000000000577,-0.0025000000000000577,0.0,0.0,-0.06716666666666671,11,45,144,159,127,32,0,8,0,0,0,1,False,10,32,158,12,34,2,8,190,3,9,1,2,197,1,2,1,1,198,1,1,0,0,200,0,0,0,0,200,0,0
bm25_1_dense_1_rrf_1_candidates_50_top_10,1.0,1.0,1,50,10,200,200,0,0.66,0.925,0.9875,0.995,0.995,1.0,0.8166666666666668,10,-0.09999999999999998,-0.03499999999999992,0.0,-0.0025000000000000577,-0.0050000000000000044,0.0,-0.06799999999999995,10,45,145,159,127,32,0,8,0,0,0,1,False,10,32,158,12,34,2,8,190,3,9,1,1,198,1,1,1,1,198,1,1,0,1,199,0,1,0,0,200,0,0
bm25_1_dense_1_rrf_1_candidates_100_top_10,1.0,1.0,1,100,10,200,200,0,0.66,0.925,0.9875,0.995,0.995,1.0,0.8166666666666668,10,-0.09999999999999998,-0.03499999999999992,0.0,-0.0025000000000000577,-0.0050000000000000044,0.0,-0.06799999999999995,10,45,145,159,127,32,0,8,0,0,0,1,False,10,32,158,12,34,2,8,190,3,9,1,1,198,1,1,1,1,198,1,1,0,1,199,0,1,0,0,200,0,0
bm25_1_dense_1_rrf_5_candidates_10_top_10,1.0,1.0,5,10,10,200,200,0,0.6325,0.92,0.9875,0.995,1.0,1.0,0.79875,10,-0.12750000000000006,-0.039999999999999925,0.0,-0.0025000000000000577,0.0,0.0,-0.08591666666666675,11,51,138,159,121,38,0,9,0,0,0,1,False,10,38,152,12,40,2,9,189,3,10,2,2,196,2,2,1,1,198,1,1,0,0,200,0,0,0,0,200,0,0
bm25_1_dense_1_rrf_5_candidates_20_top_10,1.0,1.0,5,20,10,200,200,0,0.6325,0.92,0.985,0.995,1.0,1.0,0.79875,10,-0.12750000000000006,-0.039999999999999925,-0.0025000000000000577,-0.0025000000000000577,0.0,0.0,-0.08591666666666675,11,51,138,159,121,38,0,9,0,0,0,1,False,10,38,152,12,40,2,9,189,3,10,1,2,197,1,2,1,1,198,1,1,0,0,200,0,0,0,0,200,0,0
bm25_1_dense_1_rrf_5_candidates_50_top_10,1.0,1.0,5,50,10,200,200,0,0.6325,0.92,0.985,0.995,0.995,1.0,0.79875,10,-0.12750000000000006,-0.039999999999999925,-0.0025000000000000577,-0.0025000000000000577,-0.0050000000000000044,0.0,-0.08591666666666675,11,51,138,159,121,38,0,9,0,0,0,1,False,10,38,152,12,40,2,9,189,3,10,1,2,197,1,2,1,1,198,1,1,0,1,199,0,1,0,0,200,0,0
bm25_1_dense_1_rrf_5_candidates_100_top_10,1.0,1.0,5,100,10,200,200,0,0.6325,0.92,0.985,0.995,0.995,1.0,0.79875,10,-0.12750000000000006,-0.039999999999999925,-0.0025000000000000577,-0.0025000000000000577,-0.0050000000000000044,0.0,-0.08591666666666675,11,51,138,159,121,38,0,9,0,0,0,1,False,10,38,152,12,40,2,9,189,3,10,1,2,197,1,2,1,1,198,1,1,0,1,199,0,1,0,0,200,0,0
bm25_1_dense_1_rrf_10_candidates_10_top_10,1.0,1.0,10,10,10,200,200,0,0.6325,0.915,0.9875,0.995,1.0,1.0,0.7983333333333333,10,-0.12750000000000006,-0.04499999999999993,0.0,-0.0025000000000000577,0.0,0.0,-0.08633333333333337,11,51,138,159,121,38,0,10,0,0,0,1,False,10,38,152,12,40,2,10,188,3,11,2,2,196,2,2,1,1,198,1,1,0,0,200,0,0,0,0,200,0,0
bm25_1_dense_1_rrf_10_candidates_20_top_10,1.0,1.0,10,20,10,200,200,0,0.6325,0.915,0.98,0.9925,1.0,1.0,0.7979166666666667,10,-0.12750000000000006,-0.04499999999999993,-0.007500000000000062,-0.0050000000000000044,0.0,0.0,-0.08675,11,51,138,159,121,38,0,10,0,1,0,1,False,10,38,152,12,40,2,10,188,3,11,1,3,196,1,3,1,2,197,1,2,0,0,200,0,0,0,0,200,0,0
bm25_1_dense_1_rrf_10_candidates_50_top_10,1.0,1.0,10,50,10,200,200,0,0.6325,0.915,0.98,0.9925,0.995,1.0,0.7979166666666667,10,-0.12750000000000006,-0.04499999999999993,-0.007500000000000062,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.08675,11,51,138,159,121,38,0,10,0,1,0,1,False,10,38,152,12,40,2,10,188,3,11,1,3,196,1,3,1,2,197,1,2,0,1,199,0,1,0,0,200,0,0
bm25_1_dense_1_rrf_10_candidates_100_top_10,1.0,1.0,10,100,10,200,200,0,0.6325,0.915,0.98,0.9925,0.995,1.0,0.797797619047619,10,-0.12750000000000006,-0.04499999999999993,-0.007500000000000062,-0.0050000000000000044,-0.0050000000000000044,0.0,-0.08686904761904768,11,51,138,159,121,38,0,10,0,1,0,1,False,10,38,152,12,40,2,10,188,3,11,1,3,196,1,3,1,2,197,1,2,0,1,199,0,1,0,0,200,0,0
bm25_1_dense_1_rrf_20_candidates_10_top_10,1.0,1.0,20,10,10,200,200,0,0.6325,0.9125,0.9875,0.995,1.0,1.0,0.7983333333333333,10,-0.12750000000000006,-0.04749999999999999,0.0,-0.0025000000000000577,0.0,0.0,-0.08633333333333337,11,51,138,159,121,38,0,10,0,0,0,1,False,10,38,152,12,40,2,11,187,3,12,2,2,196,2,2,1,1,198,1,1,0,0,200,0,0,0,0,200,0,0
