name,bm25_weight,dense_weight,rrf_k,candidate_k,final_top_k,query_count,labeled_query_count,unlabeled_query_count,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_50,mrr,mrr_cutoff,delta_recall_at_1,delta_recall_at_3,delta_recall_at_5,delta_recall_at_10,delta_recall_at_20,delta_recall_at_50,delta_mrr,better_than_dense_by_rr,worse_than_dense_by_rr,tied_with_dense_by_rr,dense_rank_1_count,dense_rank_1_preserved,dense_rank_1_degraded,hybrid_only_hit_at_3,dense_only_hit_at_3,hybrid_only_hit_at_5,dense_only_hit_at_5,hybrid_only_hit_at_10,dense_only_hit_at_10,pareto,queries_improved_at_1,queries_degraded_at_1,queries_tied_at_1,relevant_documents_gained_at_1,relevant_documents_lost_at_1,queries_improved_at_3,queries_degraded_at_3,queries_tied_at_3,relevant_documents_gained_at_3,relevant_documents_lost_at_3,queries_improved_at_5,queries_degraded_at_5,queries_tied_at_5,relevant_documents_gained_at_5,relevant_documents_lost_at_5,queries_improved_at_10,queries_degraded_at_10,queries_tied_at_10,relevant_documents_gained_at_10,relevant_documents_lost_at_10,queries_improved_at_20,queries_degraded_at_20,queries_tied_at_20,relevant_documents_gained_at_20,relevant_documents_lost_at_20,queries_improved_at_50,queries_degraded_at_50,queries_tied_at_50,relevant_documents_gained_at_50,relevant_documents_lost_at_50
bm25_1_dense_1_rrf_1_candidates_10_top_10,1.0,1.0,1,10,10,500,485,15,0.5699999999999995,0.8066666666666665,0.8936666666666668,0.927666666666667,0.942,0.942,0.7427468253968255,10,-0.05933333333333335,-0.02766666666666695,0.01100000000000001,0.0013333333333334085,-0.0023333333333334094,-0.01433333333333342,-0.039962698412698394,48,114,338,343,282,61,11,23,8,6,1,3,False,29,61,410,35,67,19,33,448,23,37,21,12,467,24,15,11,7,482,12,9,4,8,488,4,8,2,14,484,2,15
bm25_1_dense_1_rrf_1_candidates_20_top_10,1.0,1.0,1,20,10,500,485,15,0.5693333333333328,0.8063333333333332,0.8906666666666668,0.9303333333333335,0.9453333333333334,0.957,0.7439904761904762,10,-0.06000000000000005,-0.028000000000000247,0.008000000000000007,0.0039999999999998925,0.0010000000000000009,0.0006666666666665932,-0.03871904761904765,46,113,341,343,283,60,11,23,8,7,1,2,False,29,60,411,35,66,19,32,449,22,36,21,14,465,24,17,12,6,482,13,8,4,5,491,4,5,4,4,492,4,4
bm25_1_dense_1_rrf_1_candidates_50_top_10,1.0,1.0,1,50,10,500,485,15,0.5719999999999994,0.8039999999999999,0.8913333333333336,0.9290000000000003,0.949,0.961,0.745715873015873,10,-0.05733333333333346,-0.030333333333333545,0.008666666666666822,0.002666666666666706,0.004666666666666597,0.004666666666666597,-0.0369936507936508,46,111,343,343,285,58,10,22,8,7,1,3,False,29,58,413,35,64,18,33,449,21,36,21,13,466,24,16,12,6,482,13,8,6,2,492,7,3,5,1,494,5,1
bm25_1_dense_1_rrf_1_candidates_100_top_10,1.0,1.0,1,100,10,500,485,15,0.5719999999999994,0.8039999999999999,0.8913333333333336,0.9290000000000003,0.949,0.965,0.7456904761904761,10,-0.05733333333333346,-0.030333333333333545,0.008666666666666822,0.002666666666666706,0.004666666666666597,0.0086666666666666,-0.03701904761904773,46,111,343,343,285,58,10,22,8,7,1,3,False,29,58,413,35,64,18,33,449,21,36,21,13,466,24,16,12,6,482,13,8,6,2,492,7,3,8,1,491,8,1
bm25_1_dense_1_rrf_5_candidates_10_top_10,1.0,1.0,5,10,10,500,485,15,0.5713333333333329,0.8113333333333332,0.8953333333333336,0.927666666666667,0.942,0.942,0.7453746031746031,10,-0.05799999999999994,-0.023000000000000242,0.012666666666666826,0.0013333333333334085,-0.0023333333333334094,-0.01433333333333342,-0.03733492063492072,55,109,336,343,276,67,13,23,10,7,1,3,False,36,67,397,46,77,22,33,445,29,41,22,13,465,24,15,11,7,482,12,9,4,8,488,4,8,2,14,484,2,15
bm25_1_dense_1_rrf_5_candidates_20_top_10,1.0,1.0,5,20,10,500,485,15,0.5686666666666662,0.8009999999999999,0.8966666666666668,0.9310000000000003,0.9453333333333334,0.957,0.7440293650793651,10,-0.06066666666666665,-0.03333333333333355,0.014000000000000012,0.004666666666666708,0.0010000000000000009,0.0006666666666665932,-0.03868015873015873,55,111,334,343,277,66,11,26,9,7,2,3,False,35,66,399,43,74,20,38,442,24,42,23,10,467,25,12,13,7,480,14,8,4,5,491,4,5,4,4,492,4,4
bm25_1_dense_1_rrf_5_candidates_50_top_10,1.0,1.0,5,50,10,500,485,15,0.5726666666666662,0.8043333333333332,0.8956666666666669,0.9276666666666669,0.949,0.961,0.7467436507936508,10,-0.05666666666666664,-0.03000000000000025,0.013000000000000123,0.0013333333333332975,0.004666666666666597,0.004666666666666597,-0.03596587301587306,54,108,338,343,279,64,11,24,9,7,1,4,False,35,64,401,42,71,20,36,444,24,39,22,10,468,24,12,12,6,482,13,8,6,2,492,7,3,5,1,494,5,1
bm25_1_dense_1_rrf_5_candidates_100_top_10,1.0,1.0,5,100,10,500,485,15,0.5726666666666662,0.8063333333333332,0.8970000000000002,0.9296666666666669,0.949,0.965,0.7469134920634921,10,-0.05666666666666664,-0.028000000000000247,0.01433333333333342,0.0033333333333332993,0.004666666666666597,0.0086666666666666,-0.03579603174603174,54,109,337,343,279,64,11,23,9,6,1,3,False,35,64,401,42,71,20,35,445,24,38,22,10,468,24,12,12,5,483,13,7,6,2,492,7,3,8,1,491,8,1
bm25_1_dense_1_rrf_10_candidates_10_top_10,1.0,1.0,10,10,10,500,485,15,0.5696666666666663,0.8063333333333332,0.8953333333333336,0.927666666666667,0.942,0.942,0.7414412698412698,10,-0.059666666666666535,-0.028000000000000247,0.012666666666666826,0.0013333333333334085,-0.0023333333333334094,-0.01433333333333342,-0.041268253968254065,55,110,335,343,275,68,13,26,10,7,1,3,False,35,68,397,44,77,22,37,441,29,46,22,13,465,24,15,11,7,482,12,9,4,8,488,4,8,2,14,484,2,15
bm25_1_dense_1_rrf_10_candidates_20_top_10,1.0,1.0,10,20,10,500,485,15,0.5676666666666662,0.7973333333333331,0.8906666666666669,0.9330000000000003,0.9453333333333334,0.957,0.7418269841269841,10,-0.06166666666666665,-0.037000000000000366,0.008000000000000118,0.00666666666666671,0.0010000000000000009,0.0006666666666665932,-0.04088253968253974,56,108,336,343,277,66,11,27,10,11,2,2,False,34,66,400,44,76,19,39,442,24,44,24,15,461,27,19,13,6,481,14,7,4,5,491,4,5,4,4,492,4,4
